Monk_Tone,R,G,B
monk_1,167,132,104
monk_1,235,226,221
monk_1,184,148,122
monk_1,87,65,51
monk_1,245,241,240
monk_1,239,233,233
monk_1,250,246,245
monk_1,218,186,173
monk_1,143,89,61
monk_1,201,135,103
monk_1,83,37,21
monk_1,163,104,90
monk_1,241,237,236
monk_1,238,233,230
monk_1,245,241,238
monk_1,184,135,121
monk_1,58,37,32
monk_1,50,22,11
monk_1,216,211,208
monk_1,44,49,55
monk_1,31,26,23
monk_1,91,58,41
monk_1,214,210,209
monk_1,18,17,22
monk_1,124,90,65
monk_1,230,222,219
monk_1,221,154,128
monk_1,51,24,0
monk_1,116,73,39
monk_1,239,234,230
monk_1,98,52,28
monk_1,170,143,132
monk_1,94,61,46
monk_1,188,202,215
monk_1,183,184,188
monk_1,152,99,85
monk_1,43,23,12
monk_1,120,85,66
monk_1,182,183,187
monk_1,111,63,51
monk_1,116,78,59
monk_1,82,37,16
monk_1,209,142,113
monk_1,131,82,68
monk_1,245,241,240
monk_1,238,232,232
monk_1,248,244,243
monk_1,232,207,203
monk_1,39,20,16
monk_1,194,129,97
monk_1,179,112,85
monk_1,118,74,63
monk_1,169,118,99
monk_1,173,187,198
monk_1,178,177,182
monk_1,99,67,52
monk_1,68,42,25
monk_1,234,223,217
monk_1,122,69,37
monk_1,161,100,79
monk_1,38,18,9
monk_1,206,189,179
monk_1,185,126,82
monk_1,190,138,124
monk_1,221,205,192
monk_1,234,229,226
monk_1,246,242,241
monk_1,173,116,99
monk_1,242,240,241
monk_1,236,232,231
monk_1,247,243,242
monk_1,235,216,210
monk_1,132,71,42
monk_1,220,147,104
monk_1,121,70,43
monk_1,100,37,28
monk_1,72,36,22
monk_1,75,32,16
monk_1,163,93,57
monk_1,135,68,52
monk_1,97,57,45
monk_1,15,11,8
monk_1,214,141,106
monk_1,146,89,70
monk_1,242,238,237
monk_1,233,229,228
monk_1,246,242,241
monk_1,143,84,80
monk_1,54,22,0
monk_1,237,228,223
monk_1,79,37,15
monk_1,101,94,78
monk_1,150,123,106
monk_1,236,231,227
monk_1,112,63,31
monk_1,189,135,111
monk_1,243,239,236
monk_1,239,235,232
monk_1,245,241,240
monk_1,206,183,169
monk_1,50,30,21
monk_1,102,71,53
monk_1,191,192,196
monk_1,71,38,33
monk_1,179,130,115
monk_1,195,218,232
monk_1,180,180,182
monk_1,86,53,38
monk_1,7,0,0
monk_1,43,10,3
monk_1,141,68,27
monk_1,62,44,42
monk_1,173,151,137
monk_1,180,167,159
monk_1,226,218,215
monk_1,2,3,5
monk_1,24,10,10
monk_1,182,172,170
monk_1,203,197,197
monk_1,12,10,13
monk_1,100,73,56
monk_1,204,190,181
monk_1,123,75,39
monk_1,196,144,133
monk_1,164,94,58
monk_1,214,146,109
monk_1,210,144,112
monk_1,148,90,76
monk_1,246,238,236
monk_1,240,232,229
monk_1,247,243,240
monk_1,200,143,126
monk_1,89,66,52
monk_1,137,95,70
monk_1,248,242,242
monk_1,204,163,161
monk_1,109,59,48
monk_1,157,94,59
monk_1,155,89,63
monk_1,107,55,44
monk_1,60,36,26
monk_1,190,200,212
monk_1,192,195,200
monk_1,129,104,84
monk_1,40,14,0
monk_1,220,213,207
monk_1,138,86,49
monk_1,181,147,137
monk_1,139,97,81
monk_1,183,192,207
monk_1,187,190,195
monk_1,128,95,80
monk_1,241,236,233
monk_1,239,234,231
monk_1,246,241,238
monk_1,227,194,185
monk_1,183,182,188
monk_1,206,223,241
monk_1,184,183,188
monk_1,102,47,40
monk_1,65,37,23
monk_1,238,227,221
monk_1,105,55,28
monk_1,180,150,139
monk_1,247,243,242
monk_1,238,232,232
monk_1,250,246,245
monk_1,210,186,174
monk_1,191,144,134
monk_1,208,224,247
monk_1,192,192,194
monk_1,131,95,79
monk_1,124,77,47
monk_1,234,229,225
monk_1,63,28,8
monk_1,200,166,154
monk_1,136,75,47
monk_1,227,159,120
monk_1,117,79,68
monk_1,175,108,92
monk_1,162,98,71
monk_1,168,105,70
monk_1,206,145,117
monk_1,149,101,91
monk_1,241,237,236
